"EShop SUT - GUI & Usability Testing Summary (Google Chrome)"
"Tester:","Bùi Dương Duy Cường (23127033)"
"Date:","2026-08-01"
"Total Test Cases:","60"
"Passed:","41"
"Failed:","19"
"Pass Rate:","68.3%"
""
"ID","Aspect","Screen","Description","Expected Result","Status","Notes"
"TC-IA01-011","IA-01: General UI","Admin Dashboard","Sự chính xác và nhất quán trong hiển thị số liệu báo cáo trên Dashboard trang quản trị.","Tổng doanh thu hiển thị chính xác theo tổng các đơn hàng, không bị nhân đôi.","Failed","BUG-FR-13-001: Tổng doanh thu hiển thị trên Dashboard bị tính nhân đôi sai lệch thực tế. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/117)"
"TC-IA01-012","IA-01: General UI","All Screens","Không xuất hiện thanh cuộn ngang không mong muốn ở chế độ desktop.","Trang web chỉ cuộn dọc, nội dung nằm trọn trong trang.","Passed",""
"TC-IA01-013","IA-01: General UI","All Screens","Favicon và tiêu đề trang hiển thị đúng khi chuyển đổi trang.","Tiêu đề tab trình duyệt thay đổi tương ứng theo trang.","Passed",""
"TC-IA01-014","IA-01: General UI","All Screens","Khoảng cách đệm (Padding/Margin) giữa các khối nội dung cân đối.","Không có văn bản nào nằm sát viền màn hình.","Passed",""
"TC-IA01-015","IA-01: General UI","All Screens","Trang báo lỗi 404 hiển thị khi người dùng truy cập link sai.","Hiển thị giao diện 404 thân thiện kèm nút quay về trang chủ.","Passed",""
"TC-IA02-001","IA-02: Forms","Register / Login","Các ô nhập liệu phải có placeholder gợi ý rõ ràng.","Ô email hiển thị placeholder ví dụ như nhap@email.com.","Passed",""
"TC-IA02-002","IA-02: Forms","Register / Login","Mật khẩu khi nhập vào mặc định phải được ẩn (dạng dấu chấm hoặc dấu sao).","Input mật khẩu có thuộc tính type=""password"" để ẩn chữ.","Failed","BUG-FR-02-002: Ô mật khẩu đăng nhập hiển thị ký tự thường (dạng text) thay vì bị ẩn. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/112)"
"TC-IA02-003","IA-02: Forms","Register / Login","Sự chính xác và nhất quán của các tiêu đề biểu mẫu (Form titles/headers).","Tiêu đề biểu mẫu đăng nhập phải ghi rõ 'Đăng nhập', không ghi nhầm thành 'Đăng ký'.","Failed","BUG-FR-02-001: Tiêu đề trang đăng nhập hiển thị sai thành ""Đăng Ký"". [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/121)"
"TC-IA02-004","IA-02: Forms","Register / Login","Kiểm tra định dạng email hợp lệ khi nhập và submit form.","Trường email sử dụng thuộc tính type=""email"" để tự động xác thực định dạng.","Failed","BUG-FR-01-003: Ô nhập Email ở trang Đăng ký có kiểu dữ liệu là ""text"" thay vì ""email"". [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/111)"
"TC-IA02-005","IA-02: Forms","Register","Kiểm tra tính đúng đắn của logic kiểm tra độ mạnh yếu mật khẩu khi đăng ký.","Chấp nhận các mật khẩu mạnh có ký tự đặc biệt thông thường, không bắt khoảng trắng.","Failed","BUG-FR-01-002: Nhập mật khẩu thông thường không đăng ký được do regex quá nghiêm ngặt và sai logic. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/119)"
"TC-IA02-006","IA-02: Forms","ForgotPassword","Thiếu ô xác nhận mật khẩu mới khi thực hiện đặt lại mật khẩu.","Biểu mẫu đổi mật khẩu bắt buộc phải có trường nhập Xác nhận lại mật khẩu mới.","Failed","BUG-FR-03-001: Thiếu trường Xác nhận mật khẩu mới khi đặt lại mật khẩu. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/114)"
"TC-IA02-007","IA-02: Forms","Register / Login","Độ tương phản và vị trí hiển thị của các thông báo lỗi.","Thông báo lỗi màu đỏ nổi bật dưới trường bị trống.","Passed",""
"TC-IA02-008","IA-02: Forms","All Forms","Thứ tự điều hướng bằng phím Tab (Tab Index) trên các form.","Con trỏ di chuyển tuần tự từ trên xuống dưới một cách hợp lý.","Passed",""
"TC-IA02-009","IA-02: Forms","Checkout","Kiểm soát khả năng sửa đổi các trường hiển thị tổng tiền/giá trị giao dịch trên biểu mẫu.","Tổng tiền cần thanh toán phải khóa (Read-only), không cho người dùng sửa đổi.","Failed","BUG-FR-08-001: Tổng tiền thanh toán hiển thị dưới dạng ô Input cho phép chỉnh sửa tự do. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/126)"
"TC-IA02-010","IA-02: Forms","Profile","Kiểm tra tính năng lưu thay đổi thông tin profile khi nhập ký tự lạ.","Hệ thống xử lý an toàn, không lỗi database.","Passed",""
"TC-IA02-011","IA-02: Forms","Cart","Kiểm tra tính hợp lệ của trường nhập số lượng sản phẩm trong giỏ hàng (chống số lượng âm).","Số lượng sản phẩm trong giỏ hàng phải luôn >= 1, chặn hoàn toàn các giá trị âm.","Failed","BUG-FR-07-003: Cho phép người dùng chỉnh số lượng sản phẩm xuống giá trị âm. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/124)"
"TC-IA02-012","IA-02: Forms","Checkout","Sự hiện diện đầy đủ của các trường thông tin giao nhận hàng bắt buộc ở trang Checkout.","Hiển thị đầy đủ các trường nhập Tên người nhận, SĐT và Địa chỉ nhận hàng.","Failed","BUG-FR-08-002: Trang thanh toán thiếu hoàn toàn các ô điền thông tin giao nhận hàng. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/116)"
"TC-IA02-013","IA-02: Forms","ForgotPassword","Nút gửi mã OTP có bộ đếm ngược thời gian chờ gửi lại.","Hiển thị cooldown đếm ngược trước khi cho bấm gửi lại.","Passed",""
"TC-IA02-014","IA-02: Forms","All Forms","Nút xóa dữ liệu (Reset/Clear) hoạt động đúng.","Xóa sạch dữ liệu đã nhập trong các ô khi bấm nút clear.","Passed",""
"TC-IA02-015","IA-02: Forms","Register","Ngăn chặn đăng ký tài khoản trùng lặp email.","Thông báo lỗi rõ ràng nếu email đã tồn tại.","Passed",""
"TC-IA03-001","IA-03: Navigation","All Screens","Thanh điều hướng Header cố định ở đầu trang khi cuộn.","Header luôn ghim trên cùng khi cuộn trang xuống.","Passed",""
"TC-IA03-002","IA-03: Navigation","All Screens","Trạng thái hoạt động (Active state) của trang hiện tại.","Mục trang hiện tại trên header được tô đậm hoặc đổi màu.","Passed",""
"TC-IA03-003","IA-03: Navigation","All Screens","Tự động chuyển hướng khách vãng lai về Login.","Cố truy cập profile/checkout khi chưa login phải bị đá về login.","Passed",""
"TC-IA03-004","IA-03: Navigation","All Screens","Phím Back của trình duyệt hoạt động đúng.","Quay về trang trước đó bình thường, không bị lặp route.","Passed",""
"TC-IA03-005","IA-03: Navigation","Home","Khả năng lọc sản phẩm theo danh mục.","Bấm danh mục cập nhật sản phẩm tương ứng lập tức.","Passed",""
"TC-IA03-006","IA-03: Navigation","Home","Tìm kiếm sản phẩm cập nhật danh sách hiển thị.","Gõ từ khóa tìm kiếm hiển thị sản phẩm liên quan ngay.","Passed",""
"TC-IA03-007","IA-03: Navigation","ProductDetail","Liên kết quay lại từ chi tiết sản phẩm.","Nút quay lại đưa người dùng về đúng vị trí trang chủ.","Passed",""
"TC-IA03-008","IA-03: Navigation","Cart","Nút Tiến hành thanh toán chuyển hướng.","Dẫn hướng chính xác sang trang checkout `/checkout`.","Passed",""
"TC-IA03-009","IA-03: Navigation","ForgotPassword","Sự phân biệt trực quan và nhất quán của các nút điều hướng phụ.","Nút 'Quay lại' có màu sắc trung tính (ví dụ: xám) phân biệt rõ với nút hành động chính.","Failed","BUG-FR-03-002: Nút 'Quay lại' có màu sắc xanh lá giống hệt nút submit Đặt lại mật khẩu. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/115)"
"TC-IA03-010","IA-03: Navigation","Home","Khả năng điều hướng trực quan đến lịch sử đơn hàng và trang cá nhân từ trang chủ.","Có liên kết rõ ràng trên Header giúp người dùng vào xem lịch sử đơn hàng nhanh chóng.","Failed","BUG-FR-11-001: Người dùng gặp khó khăn khi tìm kiếm chức năng Theo dõi đơn hàng (Lịch sử mua hàng). [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/128)"
"TC-IA03-011","IA-03: Navigation","Admin Dashboard","Thanh Menu bên cạnh của trang Admin.","Bấm Category/Product/Order chuyển trang chính xác.","Passed",""
"TC-IA03-012","IA-03: Navigation","All Screens","Quyền truy cập trang Admin bị chặn với user thường.","Tài khoản thường cố vào admin hiển thị lỗi 403 hoặc đá về trang chủ.","Passed",""
"TC-IA03-013","IA-03: Navigation","All Screens","Tốc độ chuyển đổi giữa các trang.","Các trang chuyển đổi mượt mà không đơ quá 2 giây.","Passed",""
"TC-IA03-014","IA-03: Navigation","ProductDetail","Đường dẫn Breadcrumbs hiển thị rõ.","Người dùng thấy rõ cấp danh mục sản phẩm đang xem.","Passed",""
"TC-IA03-015","IA-03: Navigation","All Screens","Đóng hamburger menu khi bấm ra ngoài.","Menu tự ẩn khi chạm vùng trống bên ngoài trên mobile.","Passed",""
"TC-IA04-001","IA-04: Feedback / state","Register","Toast thông báo thành công sau khi đăng ký.","Popup đăng ký thành công xuất hiện rồi tự ẩn sau 3s.","Passed",""
"TC-IA04-002","IA-04: Feedback / state","Login","Cơ chế khóa tài khoản và hiển thị thông báo phản hồi khi đăng nhập sai.","Tài khoản chỉ bị khóa sau đúng 3 lần sai liên tiếp và hiển thị thông báo khóa.","Failed","BUG-FR-02-003: Tài khoản bị khóa chỉ sau 2 lần đăng nhập sai thay vị 3 lần. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/113)"
"TC-IA04-003","IA-04: Feedback / state","Home","Hiển thị thông báo phản hồi trực quan (Toast/Popup) khi người dùng thêm sản phẩm vào giỏ hàng từ trang chủ.","Hiển thị thông báo 'Đã thêm vào giỏ hàng thành công' ngay lập tức.","Failed","BUG-FR-07-002: Thêm sản phẩm từ trang chủ không có thông báo phản hồi trực quan. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/123)"
"TC-IA04-004","IA-04: Feedback / state","ProductDetail","Phản hồi tức thì và sự chính xác khi nhấn nút 'Thêm vào giỏ hàng' ở trang Chi tiết sản phẩm.","Sản phẩm được thêm vào giỏ ngay ở lần nhấn đầu tiên và hiện toast thành công.","Failed","BUG-FR-06-001: Nút 'Thêm vào giỏ hàng' không hoạt động ở lần click đầu tiên, yêu cầu bấm đúp. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/122)"
"TC-IA04-005","IA-04: Feedback / state","Cart","Thông báo hiển thị khi giỏ hàng trống.","Hiện thông báo trống và nút 'Tiếp tục mua sắm'.","Passed",""
"TC-IA04-006","IA-04: Feedback / state","Cart","Cảnh báo xác nhận khi xóa sản phẩm.","Hiển thị popup hỏi người dùng trước khi xóa.","Passed",""
"TC-IA04-007","IA-04: Feedback / state","Checkout","Sự chính xác và phản hồi trực quan khi áp dụng mã giảm giá (Coupon).","Mã giảm giá được tính toán chính xác và hiển thị thông báo thành công.","Failed","BUG-FR-09-001: Áp mã giảm giá phần trăm 'SAVE10' làm tăng giá trị đơn hàng lên gấp 10 lần. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/127)"
"TC-IA04-008","IA-04: Feedback / state","Checkout","Trang xác nhận đặt hàng thành công.","Hiển thị mã đơn hàng và lời cảm ơn sau thanh toán.","Passed",""
"TC-IA04-009","IA-04: Feedback / state","All Screens","Trạng thái đang tải (Loading Spinner).","Hiện skeleton loader khi đang tải dữ liệu.","Passed",""
"TC-IA04-010","IA-04: Feedback / state","Home","Thông báo kết quả tìm kiếm trống.","Hiện 'Không tìm thấy sản phẩm' khi gõ từ khóa lạ.","Passed",""
"TC-IA04-011","IA-04: Feedback / state","Profile","Thông báo lưu profile thành công.","Hiện toast báo lưu thông tin cá nhân thành công.","Passed",""
"TC-IA04-012","IA-04: Feedback / state","Admin Dashboard","Phản hồi và tính chính xác khi thực hiện thao tác cập nhật (UPDATE) dữ liệu sản phẩm trong trang quản trị.","Chỉ cập nhật sản phẩm được chọn, các sản phẩm khác không bị ảnh hưởng.","Failed","BUG-FR-15-001: Lưu cập nhật một sản phẩm làm đổi tên toàn bộ sản phẩm trong danh sách hiển thị. [GitHub Issue](https://github.com/iamDicun/Group06_HW2_Testing/issues/118)"
"TC-IA04-013","IA-04: Feedback / state","Admin Dashboard","Hiển thị kết quả import sản phẩm CSV.","Hiển thị 'Import thành công X sản phẩm' rõ ràng.","Passed",""
"TC-IA04-014","IA-04: Feedback / state","All Screens","Thông báo mất kết nối mạng.","Hiển thị banner cảnh báo offline thân thiện.","Passed",""
"TC-IA04-015","IA-04: Feedback / state","Checkout","Thông báo lỗi khi vượt quá tồn kho.","Cảnh báo và cập nhật lại số lượng tối đa mua được.","Passed",""
